Metadata_JCP2022,d_slope,p_slope_std,p_orth_std,t_orth,Count_Cells_avg,Metadata_InChIKey,Metadata_InChI,Metadata_JCP2022_1
JCP2022_114624,1.113209825830668,1.06757787965428e-6,0.0684308602724395,1.014932748682902,177.5,ZOJXJELDLUSZLJ-UHFFFAOYSA-N,"InChI=1S/C18H17N3O6S/c1-10-5-11(2)7-12(6-10)21(9-16(22)23)28(26,27)13-3-4-14-15(8-13)20-18(25)17(24)19-14/h3-8H,9H2,1-2H3,(H,19,24)(H,20,25)(H,22,23)",JCP2022_114624
JCP2022_001696,1.087205854275719,0.0009644754504758,0.0918102718036315,0.9489338200701196,157.4722222222222,AIXVXTXDRVWGJS-UHFFFAOYSA-N,"InChI=1S/C18H17N3O2/c1-13-8-9-17(23-2)15(10-13)20-18(22)16-11-19-12-21(16)14-6-4-3-5-7-14/h3-12H,1-2H3,(H,20,22)",JCP2022_001696
JCP2022_007370,1.03005039913519,1.463940080270731e-12,0.0637653966990723,0.8026825418133291,200.2222222222222,BMZRVOVNUMQTIN-UHFFFAOYSA-N,"InChI=1S/C10H5F3N4O/c11-10(12,13)18-9-3-1-7(2-4-9)16-17-8(5-14)6-15/h1-4,16H",JCP2022_007370
JCP2022_026556,0.9760373264291788,0.0045679341860178,0.0741968294553674,0.7892714293756472,252.6805555555556,GNDCLCRFZNUKIL-UHFFFAOYSA-N,"InChI=1S/C12H18N4O4S/c1-13(2)21(19,20)15-9-7-14(8-10-15)11-3-5-12(6-4-11)16(17)18/h3-6H,7-10H2,1-2H3",JCP2022_026556
JCP2022_063771,0.9390151919536344,0.0001857862921854,0.0476160237716083,0.8664242217610669,175.3055555555555,OHCTVALBQSYTGP-UHFFFAOYSA-N,"InChI=1S/C14H21NO5S/c1-19-13-4-2-12(3-5-13)6-9-21(17,18)15-10-14(16)7-8-20-11-14/h2-5,15-16H,6-11H2,1H3",JCP2022_063771
JCP2022_001727,0.9365688792050167,4.319627368909451e-6,0.1127391190833284,0.9060128016332888,176.8611111111111,AJBWQWDJFIRUNT-UHFFFAOYSA-N,"InChI=1S/C15H18N4O3/c1-10(2)18-9-12(13(16)17-22)14(20)19(15(18)21)8-11-6-4-3-5-7-11/h3-7,9-10,22H,8H2,1-2H3,(H2,16,17)",JCP2022_001727
JCP2022_081844,0.9143966707682792,0.0079988217232498,0.0843544218364309,0.96832943086593,179.1944444444445,SACDBNUYWLTDNE-UHFFFAOYSA-N,"InChI=1S/C12H18N4O2/c1-8-7-9(14-15(8)4)10(17)16-6-5-13-11(18)12(16,2)3/h7H,5-6H2,1-4H3,(H,13,18)",JCP2022_081844
JCP2022_058632,0.908705731414494,0.0001388226907566,0.0603423272350525,0.8259505917159574,164.7222222222222,NFLAHMPYKQDAPL-UHFFFAOYSA-N,"InChI=1S/C23H20Cl3N3O3S/c1-13-8-20-22(27-12-29(20)11-15-4-6-17(32-3)7-5-15)21(14(13)2)28-33(30,31)23-18(25)9-16(24)10-19(23)26/h4-10,12,28H,11H2,1-3H3",JCP2022_058632
JCP2022_091351,0.9022553781832594,0.021081964862158,0.1669613597898021,0.8017130844764229,192.1597222222222,USZDMEXHOYRHFG-UHFFFAOYSA-N,"InChI=1S/C13H16ClN7O/c1-7-10(14)8(2)21(20-7)4-3-15-12-11-13(18-6-17-12)16-5-9(22)19-11/h3,5,12,17H,4,6H2,1-2H3,(H,16,18)(H,19,22)",JCP2022_091351
JCP2022_012132,0.8940055470081751,4.971913836193664e-8,0.0923813383602658,0.9475012297708922,195.9027777777778,CMQWJGPWRZSAOO-UHFFFAOYSA-N,"InChI=1S/C16H22N2O4/c1-9(15(19)20)17-14-11-7-13(22-5)12(21-4)6-10(11)8-16(2,3)18-14/h6-7,9H,8H2,1-5H3,(H,17,18)(H,19,20)",JCP2022_012132
